container_cpu_usage_seconds_total,Value
1663006487.849,0.029073414
1663006487.849,0.027474172
1663006487.849,0.043423184
1663006487.849,0.033318287
1663006487.849,0.03144864
1663006487.849,0.036441719
1663006487.849,0.036202973
1663006487.849,0.034708047
1663006487.849,0.035740762
1663006487.849,0.035994277
1663006487.849,0.039019241
1663006487.849,0.039990009
1663006487.849,0.046392404
1663006487.849,0.047243519
1663006487.849,0.035227939
1663006487.849,0.040427535
1663006487.849,0.03187701
1663006487.849,0.045294507
1663006487.849,0.03667251
1663006487.849,0.037957663
1663006487.849,0.036064027
1663006487.849,0.029286989
1663006487.849,0.040219618
1663006487.849,0.029244189
1663006487.849,0.028401072
1663006487.849,0.040832468
1663006487.849,0.036536286
1663006487.849,0.043056844
1663006487.849,0.035569202
1663006487.849,0.03089698
1663006487.849,934.380828503
1663006487.849,1281.05616599
1663006487.849,11884.186778405
1663006487.849,10982.575031449
1663006487.849,7949.445756677
1663006487.849,666.418983292
1663006487.849,8538.561981252
1663006487.849,2666.195946542
1663006487.849,6196.214421163
1663006487.849,153.8982096
1663006487.849,1366.10095434
1663006487.849,32.850140921
1663006487.849,28.408909018
1663006487.849,1202.749946926
1663006487.849,440.438142596
1663006487.849,13.067814047
1663006487.849,13.35426002
1663006487.849,185.832378383
1663006487.849,229.463915866
1663006487.849,170.938736483
1663006487.849,10.097165322
1663006487.849,145.576164081
1663006487.849,35.587276562
1663006487.849,106.573133804
1663006487.849,98.745829533
1663006487.849,154.697429785
1663006487.849,68.107460999
1663006487.849,64.035423602
1663006487.849,73.300922069
1663006487.849,66.821630602
1663006487.849,153.690197485
1663006487.849,3047.336110082
1663006487.849,3858.643199828
1663006487.849,2907.465773375
1663006487.849,1087.708832206
1663006487.849,812.24493725
1663006487.849,5568.305202502
1663006487.849,6543.897775654
1663006487.849,2295.281666593
1663006487.849,2467.728235121
1663006487.849,2144.393125558
1663006487.849,4319.933808009
1663006487.849,891.172881853
1663006487.849,1393.247656616
1663006487.849,5123.840098623
1663006487.849,3855.853179827
1663006487.849,1968.785481152
1663006487.849,1605.470265587
1663006487.849,5680.613072046
1663006487.849,3773.036030542
1663006487.849,2296.488397872
1663006487.849,1443.813268265
1663006487.849,39.220732626
1663006487.849,1188.468310008
1663006487.849,1699.31217065
1663006487.849,6706.873600135
1663006487.849,257.431257488
1663006487.849,413.682606643
1663006487.849,240.680719032
1663006487.849,585.320333919
1663006487.849,631.419174479
1663006487.849,705.940496333
1663006487.849,60.30723172
1663006487.849,63.940402248
1663006487.849,2.544431849
1663006487.849,1755.862322126
1663006487.849,1774.548361387
1663006487.849,421.454524761
1663006487.849,435.299461777
1663006487.849,904.827961125
1663006487.849,951.246650449
1663006487.849,419.144940824
1663006487.849,388.909204172
1663006487.849,946.266359171
1663006487.849,920.180445019
1663006487.849,382.901678852
1663006487.849,392.973619045
1663006487.849,878.364988833
1663006487.849,953.462167459
1663006487.849,410.477798514
1663006487.849,388.67137821
1663006487.849,930.6835218
1663006487.849,977.894284462
1663006487.849,411.507561791
1663006487.849,388.478135913
1663006487.849,0.083670584
1663006487.849,0.061155261
1663006487.849,0.056337557
1663006487.849,0.063609234
1663006487.849,0.072982731
1663006487.849,0.057630749
1663006487.849,0.045280542
1663006487.849,0.049801982
1663006487.849,0.056210229
1663006487.849,0.053524991
1663006487.849,0.040549384
1663006487.849,0.068173691
1663006487.849,1016.479084954
1663006487.849,1503.926578972
1663006487.849,184.500412581
1663006487.849,2784.433662731
1663006487.849,612.570440041
1663006487.849,515.955133584
1663006487.849,57.431483157
1663006487.849,22853.812999906
1663006487.849,26775.602610116
1663006487.849,43458.672726559
1663006487.849,48154.966464044
1663006487.849,47810.030347352
1663006487.849,48235.213004011
1663006487.849,4825.343730754
1663006487.849,1305.334256268
1663006487.849,31.646580882
1663006487.849,30.052839111
1663006487.849,175.779254403
1663006487.849,222.601050792
1663006487.849,197.490180263
1663006487.849,204.419741974
1663006487.849,22.654373905
1663006487.849,4.714529429
1663006487.849,45.090454957
1663006487.849,174.743632688
1663006487.849,535.295025062
1663006487.849,398.016123191
1663006487.849,160.386648949
1663006487.849,31.75043124
1663006487.849,404.747344445
1663006487.849,357.737359507
1663006487.849,390.729209167
1663006487.849,465.657965459
1663006487.849,12.007700315
1663006487.849,338.771665904
1663006487.849,2149.449805702
1663006487.849,8102.987780393
1663006487.849,0.041823888
1663006487.849,0.043488716
1663006487.849,0.046766305
1663006487.849,0.028610551
1663006487.849,0.033222485
1663006487.849,0.038005502
1663006487.849,0.031951406
1663006487.849,0.03693509
1663006487.849,0.034506664
1663006487.849,0.04694701
1663006487.849,0.036305152
1663006487.849,0.042161844
1663006487.849,0.032541403
1663006487.849,0.030199244
1663006487.849,0.036666509
1663006487.849,0.044766702
1663006487.849,0.034698044
1663006487.849,0.035532971
1663006487.849,0.043753496
1663006487.849,0.033154761
1663006487.849,0.046607735
1663006487.849,0.028977955
1663006487.849,0.037220968
1663006487.849,0.04162232
1663006487.849,0.047979082
1663006487.849,0.030094396
1663006487.849,0.041150386
1663006487.849,0.043887869
1663006487.849,0.04352781
1663006487.849,0.031330353
1663006487.849,0.034697815
1663006487.849,0.034525871
1663006487.849,0.046288408
1663006487.849,0.051404647
1663006487.849,0.042685603
1663006487.849,0.029954702
1663006487.849,0.043831246
1663006487.849,0.031938104
1663006487.849,0.036720304
1663006487.849,0.031354663
1663006487.849,0.043788426
1663006487.849,0.026901979
1663006487.849,0.045306655
1663006487.849,0.039231426
1663006487.849,0.029985305
1663006487.849,0.044435755
1663006487.849,0.031516376
1663006487.849,0.037848665
1663006487.849,0.031856254
1663006487.849,0.040111334
1663006487.849,0.04473534
1663006487.849,0.056072591
1663006487.849,0.041319193
1663006487.849,0.043818999
1663006487.849,0.035437743
1663006487.849,0.028984977
1663006487.849,0.044067285
1663006487.849,0.053286416
1663006487.849,0.032684101
1663006487.849,0.033676074
1663006487.849,0.03714282
1663006487.849,0.032651973
1663006487.849,0.033098924
1663006487.849,0.036901476
1663006487.849,0.046642525
1663006487.849,0.04159558
1663006487.849,0.028362581
1663006487.849,0.03308776
1663006487.849,0.027873671
